iso3,name,region,paper1_title,paper1_domain,paper2_title,paper2_domain,status,window_done,queries,found,dropped,staged,last_run,notes
AGO,Angola,XSA,Angop (Angola Press Agency),angop.ao,Novo Jornal,novojornal.co.ao,staged,2025-01-01/2026-07-17,30,360,112,124,2026-07-17,"papers+journals; Portuguese queries throughout; only 4 of ~360 hits already held; held three-way China/India/UAE ID framing looks understated - batch adds US (Cybastion), European (Airbus/SocGen) and Brazilian (Serpro) poles; contradiction candidates: cybersecurity decree track vs suspended bill; Luanda census 7.96m vs 8.6m both cited to Censo 2024"
BDI,Burundi,XEA,Burundi Times,burunditimes.com,Iwacu,iwacu-burundi.org,staged,2025-01-01/2026-07-17,30,147,51,41,2026-07-17,papers+journals; Iwacu serves no publication dates - 4 items date_source proxy; internet-penetration figures conflict 11.1/12.5/19/~30 pct - adjudicate at ingest
BEN,Benin,XWA,Fraternite,fraternite.bj,La Nation,lanation.bj,staged,2025-01-01/2026-07-17,30,264,74,141,2026-07-17,"papers+journals; national press was entirely unheld (0 of 1512 held URLs); NEW GOVERNMENT - Wadagni replaced Talon, digital portfolio Zoumarou->Akplogan May 2026, so every held BEN page naming the incumbent is stale; techreviewafrica serves no dates - 9 items dated by fetch; 1 fetch-failed (ISOC Benin) needs manual clip"
BFA,Burkina Faso,XWA,Sidwaya,sidwaya.info,leFaso.net,lefaso.net,staged,2025-01-01/2026-07-17,30,356,88,126,2026-07-17,papers+journals; Sidwaya/leFaso entirely unheld (0 of 1512 held URLs); WURI STILL RUNNING IN BFA post-ECOWAS-exit per Aug-2025 enrolment workshop + Feb-2026 World Bank mid-term review - held ECOWAS-exit-drops-WURI line needs re-dating at ingest; 3 items need manual clip; techcabal yielded nothing BFA-specific
BWA,Botswana,XSA,Mmegi,mmegi.bw,Sunday Standard,sundaystandard.info,staged,2025-01-01/2026-07-17,30,273,158,115,2026-07-17,"papers+journals; wiki holdings were near-empty - only 4 of 273 hits already held; BOTH papers paywall (Mmegi, Sunday Standard) so 16 bodies are free-to-read text only, flagged [CLIP] - see ISSUE-011; penetration conflicts 73/~80/81.4 pct"
CAF,Central African Republic,XCA,Radio Ndeke Luka,radiondekeluka.org,Oubangui Medias,oubanguimedias.com,staged,2025-01-01/2026-07-17,22,210,86,38,2026-07-17,"paper1/paper2 set per ISSUE-012 (Bill, 2026-07-20): Radio Ndeke Luka (radiondekeluka.org - UN/Hirondelle, FR+Sango, independent; CAVEAT: radio station, web items are stubs) + Oubangui Medias (oubanguimedias.com - domestic, frequently the original others copy). Corbeau News Centrafrique (corbeaunews-centrafrique.org) = standing THIRD for the identity beat (diaspora-run, opposition line, live ""today"" date). Agence Ecofin (agenceecofin.com) = de facto TRADE paper of record, already most-cited CAF source in raw/. Targeted institutional/pan-African searches do NOT amortise. rca.news-pravda.com = unattributed Russian-network mirror, always drop and stage originals (ISSUE-013)."
CIV,Cote d'Ivoire,XWA,Fraternite Matin,fratmat.info,Linfodrome,linfodrome.com,staged,2025-01-01/2026-07-17,36,935,278,187,2026-07-17,"papers+journals; largest yield of the sweep. Zero fratmat/linfodrome URLs were held - the rich CIV hub was built entirely from trade press and multilaterals. MONTH-SLICING REQUIRED (first country since the pilot): unsliced, Apr-Jul 2026 held 43pc of hits and Nov 2025 returned 2; slicing recovered +41 items. Exa site: filter leaked badly - only 145 of 480 in-window hits were on-domain"
CMR,Cameroon,XCA,Le Jour,lejour.cm,Le quotidien L'Economie,leconomie.info,staged,2025-01-01/2026-07-17,35,214,129,127,2026-07-17,"papers+journals+completion pass; zero lejour.cm/leconomie.info URLs held - national press wholly unrepresented, CMR holdings were trade-journal only. Journals half needed a 2nd pass: first agent hit its fetch budget and documented 43 residual candidates rather than dropping them; completion pass staged 42 (1 fetch-failed, kept twin exists). Residual list now EMPTY. Exa dates wrong on 7 of 10 Le Jour items, always LATER than truth by 1-16 days - treat as upper bound; 16 papers items date_source proxy. leconomie.info NOT thin - outproduced Le Jour 33:22"
COD,DR Congo,XCA,ACTUALITE.CD,actualite.cd,Magazine RD CONGO-MONDE,rdc-monde.com,staged,2025-01-01/2026-07-17,27,580,102,90,2026-07-17,papers+journals; zero actualite.cd/rdc-monde URLs held - all net-new. MONTH-SLICING ESSENTIAL: unsliced queries returned almost exclusively 2026; 3 of top 5 finds are 2025 items no unsliced query reached. rdc-monde.com live-clock date trap - header date returned 4 different values across 6 pages in 2 fetches; all 6 rdc-monde items date_source proxy. actualite.cd encodes date in URL (/YYYY/MM/DD/) giving a server-assigned anchor - matched body dateline in all 54 cases
COG,Congo,XCA,Les Depeches de Brazzaville (via ADIAC),adiac-congo.com,,,staged,2025-01-01/2026-07-17,21,342,139,63,2026-07-17,"papers+journals; paper1 domain CORRECTED lesdepechesdebrazzaville.fr -> adiac-congo.com (the .fr site serves only whole-edition PDFs, no per-article HTML). 28+17=45 COD/COG name-collision hits caught and rejected. rdc-monde/CNC live-clock date traps. ICT minister changed: Ibombo -> Frederic Malik Nguema Nze by 2026-05, dating held COG.md + patn-congo attributions"
COM,Comoros,XEA,Al-Watwan,alwatwan.net,La Gazette des Comores,lagazettedescomores.com,staged,2025-01-01/2026-07-17,30,56,15,41,2026-07-17,papers+journals; recovered after API-incident agent death (papers half re-run from scratch - only ~5 Al-Watwan had survived). La Gazette productive (14). Zero paper URLs held - national press uncollected. Semlex->GenKey biometric-passport handover with data moving from Belgium to domestic (sovereignty/colonialism); PayLogic national payment switch; .km ccTLD transfer to ANADEN. Both papers incl. state-owned Al-Watwan
CPV,Cape Verde,XWA,A Nacao,anacao.cv,Expresso das Ilhas,expressodasilhas.cv,staged,2025-01-01/2026-07-17,40,85,25,60,2026-07-17,"papers+journals; recovered after API-incident agent deaths. Ledger blind-spot note CONFIRMED for trade press but papers are a strong primary instrument (zero CPV URLs held from either paper). Papers cover the politics/events of digital transformation well but NOT the foundational-ID architecture (CNI/SNIAC/Chave Movel Digital) - that lives only in gov primary sources, see GAP-CPV. INE statistics-manipulation controversy (2016->) is the sharpest thread. 4 Expresso items paywalled/URL-unresolved - [CLIP] before promotion"
DJI,Djibouti,XEA,Agence Djiboutienne d'Information (ADI),adi.dj,La Nation,lanation.dj,staged,2025-01-01/2026-07-17,30,91,22,47,2026-07-17,"papers+journals; zero adi.dj/lanation.dj URLs held - national press entirely uncollected. UNDER-COLLECTED not thin. Both papers state-aligned (ADI is the state agency, La Nation the govt daily) - good for existence/launch facts, structurally cannot verify adversarially. La Nation renders a live-clock header date - all dates from body datelines. Horizon Fiber tripartite (DJI-ETH-SDN, signed 2026-02-04) new to wiki. Minister re-dating: Mariam Hamadou Ali -> Safia Ali Mohamed Gadileh (delegate, 2026-05-22)"
DZA,Algeria,XNA,Echorouk El Yawmi,echoroukonline.com,El Moudjahid,elmoudjahid.dz,staged,2025-01-01/2026-07-17,37,470,141,135,2026-07-17,"papers+journals; FIRST ARABIC country - Arabic N1-N7 recipe now recorded in query-recipes.md for EGY/LBY/MAR/TUN/SDN/MRT. Recovered after API-incident agent deaths (journals orchestrator + papers agent both died; batch-worker fan-out amplified failures - recovery used single sequential agents). Echorouk (AR, private) dates clean Gregorian; El Moudjahid (FR/AR state daily) serves no in-body dates - dated by article-ID interpolation, date_source proxy. Fixed-8 journals carried by wearetech/techreviewafrica/techafricanews/telecomreviewafrica for the Maghreb; SSA-4 low-yield. RUSSIA geopol material (Alger-Moscow cyber MoU) - no geopol.russia slug, see ISSUE-014. Decree number conflict: 2 sources say data-gov decree n.25-320 vs wiki DZA.md 25-350 - reconcile at ingest"
EGY,Egypt,XNA,Al-Ahram,gate.ahram.org.eg,Youm7,youm7.com,swept,2025-01-01/2026-07-17,22,70,35,35,2026-07-17,"FIRST full Arabic-recipe run - validated. Al-Ahram+Youm7 serve CLEAN Gregorian dates, NO Hijri/Eastern-numeral datelines (that risk remains for LBY/SDN/MRT only). Egypt fares well on ALL 8 journals incl the SSA-4 (per North-Africa note). Arabic domain-scoping leaks (~2-4 on-domain per query). CONTRADICTION CANDIDATE for ingest: wiki dates PDPL Exec Regs (Decree 816/2025) 'finalised 2026-02-11, Comms-Minister decree'; EGY sources say issued Nov 2025, possibly Prime-Ministerial, full application Nov 2026 - re-date + issuing-authority. Bodies are Exa EXCERPTS (genuine text, not summaries) - need full clip on promotion. techreviewafrica 2 PR-wire not staged (Date: field needs fetch). Lead: Access Now spyware report for surveillance counter-angle"
ERI,Eritrea,XEA,Awate,awate.com,Shabait (Eritrea Profile / Ministry of Information),shabait.com,swept,2025-01-01/2026-07-17,16,29,24,5,2026-07-17,"TRADE-PRESS BLIND SPOT CONFIRMED (probed 7 of 8 journals, zero ERI-specific). Genuinely thin - property of Eritrea not the sweep. Load-bearing facts from dev partners (UNDP EPHS 2025 CAPI survey) + reference scholarship via last-instrument search. Shabait=state MoI (pure govt voice), Awate=opposition-diaspora, no independent tech desk. Baseline: 859k mobile connections 23.7pc (late-2025), among Africa's lowest; reportedly only coastal African state w/ zero submarine-cable landings (unheld lead)"
ETH,Ethiopia,XEA,Addis Standard,addisstandard.com,The Reporter,thereporterethiopia.com,swept,2025-01-01/2026-07-17,13,55,19,36,2026-07-17,"both newspapers entirely uncollected; Fayda thread badly under-collected (biometricupdate 18, only 3 held). Addis Standard supplied CRITICAL counter-narratives (Coercion Over Consent, Digital Leap Paradox) vs the wiki's celebratory framing. New entity: Raxio Ethiopia ($380M Addis DC). Fayda joined EIH sovereign wealth fund (commercialising). Horizon Fiber cross-confirms DJI batch. CAVEAT: bodies staged as lede/key-fact EXCERPTS (context tradeoff over 36 items) - need full clip on promotion; 2 Reporter items summary-only/date_source proxy. Exa dates garbage across all domains - all re-dated at fetch"
GAB,Gabon,XCA,GabonReview,gabonreview.com,L'Union - Sonapresse,union.sonapresse.com,swept,2025-01-01/2026-07-17,19,60,21,39,2026-07-17,"GabonReview the workhorse (23); L'Union thinner (6, 2 proxy dates). Updates held IN Groupe/Thales CNIE story w/ RBPP+SNID+CNEC registry architecture + Apr-2025 biometric voter-reg (new election-DPI thread). Data-centre full arc reconstructed (announce->groundbreak->launch->inauguration figures). New threads: GABIX IXP relaunch, ANINF-MITRE US cyber coop (geopol.usa), APDPVP enforcement, Interpol cybercrime. Held Visa deal now primary-sourced. CURATOR LEADS (non-assigned outlets, unheld): Medusa cable landing Port-Gentil, Airtel-Moov infra-sharing +1800km, Gabon e-visa/MaDigiPaie"
GHA,Ghana,XWA,Graphic Online,graphic.com.gh,MyJoyOnline,myjoyonline.com,swept,2025-01-01/2026-07-17,30,149,18,85,2026-07-17,"MyJoyOnline 38 + Graphic 23 (both high-vol); journals real yield (biometricupdate+techafricanews load-bearing; wearetech thin/established). L.I. 2111 photocopying Ghana Card now ILLEGAL (biometric-only verification); National AI Strategy LAUNCHED (Mahama $270m, held only had cabinet approval); NGIC 5G monopoly stripped->open spectrum auction (NGIC unheld); BoG Cyber Directive 2026 w/ financial-data LOCALISATION; Zeepay licence revoked; Data Harmonisation Bill 2025. Re-dating: agenda now Mahama/Sam George govt (2025 transition). INGEST FIXES: NDPC=Development Planning not Data Protection (drop gov.protect); MoMo figures resolve monthly-peak GHc518b vs full-year GHc4.5tn (not a conflict); 1 proxy date"
GIN,Guinea,XWA,Aminata.com,aminata.com,Mediaguinee,mediaguinee.com,swept,2025-01-01/2026-07-17,19,76,39,37,2026-07-17,mediaguinee.com richest (~20); aminata high (~6). Journals WELL-COVERED (connectingafrica/telecomreview/techafricanews/wearetech/techcabal all carry GIN); biometricupdate + itweb thin for GIN (established). Back-fills UNHELD threads: PN-RAVEC/RNPP biometric census->permanent electoral file (referendum+2026 coupled elections); MEDUSA/Via Africa/Amilcar Cabral cables; STATE ACQUISITION of MTN Guinee (nationalisation); National Data Governance Strategy (Jun 2026); 3pc foreign-digital-services tax + Digital Sovereignty Fund decree; govtech wave (GUSP/GovStack/WARDIP/TELEMO/ASAN/eCNSS). No proxy dates; 3 techreviewafrica pr-wire. GIN/GNB/GNQ collisions screened
GMB,Gambia,XWA,The Point,thepoint.gm,The Standard,standard.gm,swept,2025-01-01/2026-07-17,18,48,20,28,2026-07-17,"UNDER-COLLECTED not thin (18 held but whole mid-2025->mid-2026 missing). Both papers rich (thepoint 11, standard 10); SSA-4 journals thin for GMB. NIMS national ID + Abuko National Data Centre go-live Jun/Jul-2026 (held stopped at Jan-2026 signing). QGroup commercial DC+QFiber (Apr-2026) - TWO 'first DC' claims (state vs private) to reconcile at ingest. GAMCEL->YCELL 80pc privatisation; GAMTEL-SYSROAD $50M broadband; Starlink data-sovereignty licensing saga (US pressure); Communications Bill 2025; Kalp 'Gambia One' blockchain DPI. Bodies full, no proxy. Minor: GICTA DG Jallow vs Diallo spelling"
GNB,Guinea-Bissau,XWA,Agencia de Noticias da Guine (ANG),ang.gw,Gazeta de Noticias,gnbissau.com,swept,2025-01-01/2026-07-17,24,35,22,13,2026-07-17,"BLIND SPOT + LOPSIDED: gnbissau.com OPAQUE to Exa (JS scaffolding only - needs manual/RSS clip route); ang.gw (state agency) sole functional but serves NO in-body dates - 3 proxy dates. Journal blind spot established. UNDER-COLLECTED (11 held, 13 new substantive). NEW governance spine: 3-decree Council approval (interop+data-gov policy+cyber strategy 2025-07-10), Nat Cybersecurity&DP Agency, Electronic Comms Law, Digital Integrity/online-falsehoods law (post-coup CNT 2026-05-23 - repression angle). Connectivity: Starlink ARN primary (fills unsourced held line), WARDIP 2877km backbone (supersedes 888km), ENBIC biometric ID. New entities: arn, telecel. Lead: WB WARDIP-GB $60M financing as instrument"
GNQ,Equatorial Guinea,XCA,AHORAEG,ahoraeg.com,,,swept,2025-01-01/2026-07-17,25,62,34,28,2026-07-17,"THINNESS DISPROVEN - GNQ has an active digital-gov record. Single paper AHORAEG marginal alone (6); REAL instrument = Spanish institutional press led by realequatorialguinea.com (15) + last-instrument searches. Journals near-zero country-tagged (regional supplement only). Finds: Ley 7/2024 cybercrime + ANCIC agency + Malabo ratification; SIGF biometric civil-servant registry (M2M Group Morocco); e-payments/BANGE MOBILE; GETESA-Huawei 5G; Medusa cable Bata landing (2029-30); PAMFP govt data centres; ZEEDE-Djibloho zone; Starlink. CURATOR RECS: add realequatorialguinea.com as GNQ paper2; make GITGE a resource entity + standing source. guineaecuatorialpress.com cookie-walled -> 10 fetch-failed manual-clip leads (Huawei e-gov MoU, e-gov law, BEAC-PAPSS, unique-ID code)"
KEN,Kenya,XEA,Daily Nation,nation.africa,The Standard,standardmedia.co.ke,swept,2025-01-01/2026-07-17,16,137,53,84,2026-07-17,"heavily-held (25 already-held dropped - good dedup); nation 20 + standard 17; all 8 journals yield. Exa did NOT month-swamp KEN (semantic scatter + site: leak the failure mode). NEW: facial-recognition surveillance escalation (NRB ID DB->6-city police CCTV KES25bn + Sh2.7bn AI social-media surveillance) - sharpens sovereignty/colonialism; LANDMARK ruling phone numbers=personal data (M-Pesa KYC implications); eCitizen/Pesaflow Sh6.3bn diversion scandal + AG state-takeover call; state data marketplace + Safaricom-KNBS data-for-stats MoU; M-Pesa re-platforming/systemic risk (CBK too-big-to-fail); sovereign-cloud proliferation; Meta Daraja subsea cable; National Cyber Security Agency approved. RE-DATING: CA Q3 2025/26 (84.1m SIMs, Safaricom 68.9pc, Starlink first top-10 fixed ISP) supersedes held DataReportal. BODY FIDELITY: 6 full, 61 excerpt, 17 Standard paywalled summary-only [CLIP] - manual clip on promotion"
LBR,Liberia,XWA,FrontPage Africa,fpa.news,Liberian Observer,liberianobserver.com,swept,2025-01-01/2026-07-17,11,25,5,20,2026-07-17,"WELL-COLLECTED not thin; both papers were uncollected (Liberian Observer 11 workhorse, FPA 4). SSA-4 journals low-yield for LBR (established). National ID CRISIS deepened: $1.7m debt to Kenyan builder Techno Brain LOCKS the biometric database; OSD concession restructure ($40m enroll-all PPP). EO 163 (22 Apr 2026) creates NDMI + OTDI e-gov office. DP bill in House (EU/Internews) + alleged 2m-citizen data breach. LTA sweeping reforms (ccTLD repatriation, first satellite regs, IMEI, 156-school Starlink). RE-DATING for ingest: Pay Na-Na/IIPS launch was 16 Dec 2025 NOT held 2026-07-13 (that was an expansion statement). 2 items excerpt/[CLIP]"
LBY,Libya,XNA,Alwasat (Bawabat Al-Wasat),alwasat.ly,Libya Herald,libyaherald.com,swept,2025-01-01/2026-07-17,15,47,15,32,2026-07-17,"Alwasat (Arabic) ENTIRELY UNMINED before (15 staged, biggest gap); libyaherald 17. Trade journals GENUINELY THIN (confirmed by probing - Libya signal on Ecofin/DCD not fixed-8; 0 journal staged). Finds: Almadar first 5G, Medusa cable inauguration, civil-registry fraud crisis (225 Malians, black market in national numbers), e-payment explosion (LD389bn/2025, EPAIX SoftPOS/Visa), National AI Strategy+LIBIGPT, CBL cyber incident, Circular 9/2026 e-wallets for foreigners. East/west split (most GNU/Tripoli-side). HIJRI FEEDBACK for SDN/MRT: Hijri/Eastern-numerals did NOT appear on private alwasat.ly (clean Gregorian) - risk is at STATE-DAILY/aggregator layer (SDN SUNA is a state agency, watch there). LEAD: gia.gov.ly richest unmined LY DPI source (LY-DNID digital ID L2/L3, AI Strategy 2026-2030 adopted) - standing-source rec. Bodies excerpts; 6 Arabic proxy dates; no DP law/DPA"
LSO,Lesotho,XSA,Lesotho Times,lestimes.com,Public Eye,publiceyenews.com,swept,2025-01-01/2026-07-17,20,35,10,25,2026-07-17,"WELL-COVERED not thin; both papers rich (lestimes 7, publiceye 7). SSA journals GENUINE coverage here (itweb/techafricanews/connectingafrica), unlike the Maghreb pattern; wearetech+techreviewafrica nil. NEW: $6.2bn Convalt 'Project Kobong' hydropower+AI data centre (largest-ever FDI, geopol.usa, King Letsie III+Gephardt); LSO-specific Starlink licensing sovereignty fight (foreign-ownership, Vodacom local-shareholding appeal, US-tariff link); 3 signed digital policies Jun-2026 (Broadband Sharing/Data Management/AI); Lesotho-India India-Stack MoU; M-Pesa->VCL Financial Services spin-off. CONTRADICTION for ingest: Convalt binding MoA (TechAfrica) vs non-binding MoU (ConnectingAfrica). publiceye live-clock trap (URL dates used); 1 likely 2025/2026 typo flagged; no proxy. Leads (gov.ls only): Nat Data Value Creation Blueprint, National AI Policy"
MAR,Morocco,XNA,Assabah,assabah.ma,Hespress,hespress.com,swept,2025-01-01/2026-07-17,19,59,14,45,2026-07-17,"rich; Hespress via English section (7)+Arabic (3); Assabah GENUINELY THIN (Exa barely indexes it). SSA-4: Morocco fares better than deep-Maghreb (itweb 3, connectingafrica 2; techcabal thin - tag page only). NEW: biometric passport decree 2.26.551 (Jul 2026, Amazigh+English chip); Nexus AI Factory $1.28bn sovereign AI DC (TAQA/Nvidia/Lloyds); Morocco OVERTAKES SA as Africa top DC hub (23 facilities); 5G commercial launch 7 Nov 2025 (all 3 operators); maCERT/DGSSI FortiBleed incident + cyber market $1.2bn; CNDP responsible-AI MoU + earliest MA AI-regulation bill (Jan 2026). HIJRI FEEDBACK closed: NONE on Hespress/Assabah (clean Gregorian Western numerals, like Algerian private papers). techreviewafrica Date: field validated (all 8 re-dated). No month-slicing needed"
MDG,Madagascar,XEA,L'Express de Madagascar,lexpress.mg,Midi Madagasikara,midi-madagasikara.mg,swept,2025-01-01/2026-07-17,20,83,49,34,2026-07-17,"papers WELL-INDEXED by Exa (the earlier 0 was the orphaned/unlaunched slot, not indexing); SSA-4 strong here (biometricupdate deep on PRODIGY, 7 pieces). PRODIGY mass-rollout arc (2.6M->3.25M adults->5.6M total); mass-birth-reg law 28-May-2026; $543M PRODIGY+DECIM review (2 renewable data centres Tsimbazaza/Iavoloha); DECIM (WB $400M energy+connectivity); CMIL data-protection gap (AFAPDP mission); national cybersecurity strategy+cybercrime-law overhaul (Council 8 Jul 2026); Direct-to-Cell+Eutelsat; DARE1 cable extension; Orange Tana-Mahajanga backbone; AXIAN Digibank; eCurrency/eAriary; customs CEDIA. New entities: decim, laxton, cedia, cirt, airtel-madagascar, ecurrency-mint, baobab-bank, studia, visa. No proxy dates"
MLI,Mali,XWA,L'Essor,lessor.ml,Maliweb,maliweb.net,swept,2025-01-01/2026-07-17,24,43,25,18,2026-07-17,"richly collected (many already-held); L'Essor strong; techreviewafrica thin, itweb historical/OOW. CIB-AES diaspora pilot Bamako (cross-border enrollment, extends cib-aes). WURI ANSWER: Mali NEVER a WURI participant (WURI=CIV/GIN+BEN/BFA/NER/TGO) so NO 'still-in-WURI-despite-exit' story - AES ID is Mali's PRIMARY foundational track. SOTELMA RE-NATIONALISATION (49->56pc, $277m, Maroc Telecom to minority - economic sovereignty, mirrors GIN MTN nationalisation + AES asset-reclaim). APDP data-protection cluster (wiki held NO APDP entity - actively-enforcing DPA, 5M FCFA fine). ANSSI cyber agency (Jun 2026). Russia/Africa-Corps cyber (Russian cybercriminals behind Aug-2022 breach of 312k taxpayers) - ISSUE-014 tagged around. IFC E80m Orange, Orange-Intelsat 4G-over-satellite. No proxy dates"
MOZ,Mozambique,XSA,Club of Mozambique,clubofmozambique.com,Jornal Noticias,jornalnoticias.co.mz,swept,2025-01-01/2026-07-17,18,67,28,39,2026-07-17,"Jornal Noticias INVISIBLE to Exa (only homepage surfaced) - newspaper half rests entirely on Club of Mozambique EN (~24); PT coverage exists but flows via non-scope .mz outlets (360mozambique/aimnews/cartamz). Journals real coverage (techcabal thin, techreviewafrica pr-wire). NEW: national instant-payments revolution (BdM SPIM/METIX launched 16 Mar 2026, National Payments System Law, e-money 109.8pc of adults, IRPS tax on M-Pesa/e-Mola); 5G (spectrum->licences Jun 2026->2027 roadmap, 'Southern Africa digital hub'); mass free civil-reg/BI campaign (7M target, WB/EDGE, 500 brigades); mobile digital-ID + X-Road/DNIC tender; CNIA AI commission + draft AI strategy; data-centre/cloud Decrees 71/72/2025. Post-Oct-2024 internet-restriction; SpaceX-Min Economy talks. No proxy, no fetch-fail"
MRT,Mauritania,XWA,Agence Mauritanienne d'Information (AMI),ami.mr,Le Quotidien de Nouakchott,lequotidien.mr,swept,2025-01-01/2026-07-17,10,59,42,17,2026-07-17,"rich DPI (NOT thin); ami.mr rich state-agency archive (clean Gregorian AR+FR); lequotidien.mr UNINDEXED by Exa (0 on-host). HIJRI CLOSED: no Hijri/Eastern-numerals on ami.mr even as state agency - Arabic risk did NOT materialise for ANY batch country (DZA/EGY/LBY/MAR/MRT all clean Gregorian Western numerals). techafricanews/wearetech NOT thin for MRT (fixed-8 DO work here, contra N-Africa prediction); SSA-4 thin. ID-EXCLUSION angle: register 3.4M(2019)->5.1M, opposition presses on undocumented citizens, contests held 94pc coverage (sovereignty+colonialism). EllaLink 2nd cable fully documented (launch Jul-2025->landing May-2026); national sovereign cloud launched 29 Jun-2026 (WARDIP); PAMIF financial inclusion 21->55pc; 5G (4 winners incl new op Rimatel); APD data-protection authority + Nat AI Strategy 2025-2029 (net-new). SCOPE: 8 off-assigned-host primaries staged (flagged provenance_flag) - MRT signal densest on national outlets outside assigned set"
MUS,Mauritius,XEA,L'Express (Maurice),lexpress.mu,Mauritius Times,mauritiustimes.com,swept,2025-01-01/2026-07-17,20,36,7,29,2026-07-17,"lexpress.mu rich (14); mauritiustimes thin but distinctive (PertSol/VERINT mass-surveillance saga, Moustass-Leaks privacy debate). connectingafrica+techcabal thin (established). In-window MNIC/identity news QUIET (now surfaces inside data-centre/social-media-verification/budget pieces). 2026 POLICY WAVE: National Data Strategy 2025-2029, National AI Strategy+FAIR guidelines, National Fintech Strategy 2026-2030, CII cybersecurity regs (in force 1 Jun 2026, penalties to 25yrs), DPO Regs 2026, Rose-Belle Tier IV govt data centre, MT Rs20bn/$434M Bridging Africa&Asia strategy, E-Social-Security (10.5M records). GDPR-ADEQUACY assessment 2026 (full GDPR alignment). AllMyT Summit 2026-07-16 (AWS MoU, NVIDIA H200, AI Registry, MT-Seychelles payments) - only thin techreviewafrica pr-wire, primary-source at ingest. No contradictions/re-datings"
